oaci,uf,municipio,longitude,latitude
SNKD,Minas Gerais,Conceição do Mato Dentro,-19.018611,-43.435278
SSLG,Rio Grande do Sul,São Luiz Gonzaga,-28.376389,-55.0375
SWDN,Tocantins,Dianópolis,-11.595278,-46.847778
SNJB,Bahia,Jacobina,-11.163056,-40.553333
SSCL,Mato Grosso do Sul,Cassilândia,-19.146944,-51.676389
SNTO,Minas Gerais,Teófilo Otoni,-17.890833,-41.515
SWVC,Mato Grosso,Vila Rica,-9.9811111,-51.140556
SIBW,Paraíba,Conceição,-7.5625,-38.4975
SWMW,Amazonas,Maués,-3.3569444,-57.712222
SIZX,Mato Grosso,Juara,-11.296667,-57.548889
SJXI,Minas Gerais,Santa Rita do Sapucaí,-22.272778,-45.64
,Goiás,Morrinhos,-17.761667,-49.121667
SSAB,Paraná,Ibaiti,-23.763056,-50.259167
SDVE,São Paulo,Vera Cruz,-22.230278,-49.816944
SNRZ,Minas Gerais,Oliveira,-20.714444,-44.865278
SDKJ,Bahia,Formosa do Rio Preto,-11.021111,-45.187222
SDTI,São Paulo,Tupi Paulista,-21.393056,-51.598889
SNJP,Minas Gerais,João Pinheiro,-17.7875,-46.120278
SSPS,Paraná,Palmas,-26.472222,-51.975556
SDBA,São Paulo,Batatais,-20.876944,-47.585833
SSOI,São Paulo,Pederneiras,-22.307222,-48.773056
SNAG,Minas Gerais,Araguari,-18.668056,-48.190278
SNBC,Maranhão,Barra do Corda,-5.5025,-45.215833
SBPV,Rondônia,Porto Velho,-8.7136111,-63.902778
SSCR,Paraná,Marechal Cândido Rondon,-24.512778,-54.054722
SDPY,São Paulo,Pirassununga,-22.027778,-47.421667
SDJC,São Paulo,Jaboticabal,-21.230833,-48.285556
SDUN,Rio de Janeiro,Itaperuna,-21.219167,-41.875833
SNQU,Bahia,Mucugê,-13.031667,-41.444444
SDFD,São Paulo,Fernandópolis,-20.276667,-50.213889
SNUB,Minas Gerais,Ubá,-21.12,-42.883611
